,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (C),Wind Speed(kmph)
258,bull savanna,77,JM,2020-01-04 02:09:52,97,17.89,-77.59,20.50999999999999,1.5127796
259,tecoanapa,40,MX,2020-01-04 02:09:52,83,16.99,-99.26,25.149999999999977,1.60934
260,liverpool,75,GB,2020-01-04 02:09:52,87,53.41,-2.98,8.149999999999977,13.196587999999998
261,maniitsoq,96,GL,2020-01-04 02:09:52,69,65.42,-52.9,-4.149999999999977,11.3780338
262,husavik,100,CA,2020-01-04 02:09:52,94,50.56,-96.99,-2.069999999999993,3.7497622
263,hami,0,CN,2020-01-04 02:09:52,48,42.84,93.51,-4.389999999999986,1.3196588
264,sakurai,75,JP,2020-01-04 02:09:52,50,34.52,135.84,12.370000000000005,14.001257999999998
265,turukhansk,100,RU,2020-01-04 02:09:52,95,65.8,87.96,-17.72999999999999,10.1066552
266,dingle,41,PH,2020-01-04 02:09:52,82,11,122.67,26.680000000000007,10.0905618
267,meadow lake,98,CA,2020-01-04 02:09:52,86,54.13,-108.44,-10,4.586619
268,san angelo,1,US,2020-01-04 02:10:52,69,31.46,-100.44,4.0400000000000205,4.184284
269,burgeo,10,CA,2020-01-04 02:10:53,82,47.61,-57.61,-1.6399999999999864,0.9656039999999999
